teacher,budget,rep,policy_acc,sequence_acc,alive_swaps,candidate_edges
transformer,12,75,0.7916666666666666,0.5,2,56
transformer,12,76,0.9166666666666666,0.75,2,48
transformer,12,77,0.9166666666666666,0.75,2,56
transformer,12,78,0.9166666666666666,0.75,2,54
transformer,12,79,0.875,0.75,1,33
transformer,12,80,0.9166666666666666,0.75,2,56
transformer,12,81,0.875,0.75,2,52
transformer,12,82,0.9166666666666666,0.75,2,48
transformer,12,83,0.9583333333333334,0.875,1,29
transformer,12,84,0.9166666666666666,0.875,1,27
transformer,12,85,0.875,0.75,2,56
transformer,12,86,0.9166666666666666,0.75,1,28
transformer,12,87,0.875,0.75,2,52
transformer,12,88,0.9166666666666666,0.75,2,54
transformer,12,89,0.7916666666666666,0.5,2,52
transformer,12,90,0.9166666666666666,0.75,2,48
transformer,12,91,0.875,0.75,1,29
transformer,12,92,0.8333333333333334,0.625,2,52
transformer,12,93,0.9166666666666666,0.75,2,48
transformer,12,94,0.9166666666666666,0.75,1,28
transformer,12,95,0.7916666666666666,0.375,2,52
transformer,12,96,1.0,1.0,1,27
transformer,12,97,0.7916666666666666,0.625,2,56
transformer,12,98,0.9583333333333334,0.875,1,28
transformer,12,99,0.875,0.625,2,52
transformer,14,0,1.0,1.0,1,21
transformer,14,1,1.0,1.0,1,24
transformer,14,2,0.9583333333333334,0.875,1,25
transformer,14,3,1.0,1.0,1,25
transformer,14,4,0.9166666666666666,0.75,1,24
transformer,14,5,0.9583333333333334,0.875,1,23
transformer,14,6,1.0,1.0,1,21
transformer,14,7,0.9583333333333334,0.875,1,23
transformer,14,8,1.0,1.0,1,24
transformer,14,9,0.9583333333333334,0.875,1,21
transformer,14,10,0.9583333333333334,0.875,1,23
transformer,14,11,0.9166666666666666,0.75,1,20
transformer,14,12,1.0,1.0,1,24
transformer,14,13,1.0,1.0,1,22
transformer,14,14,0.9583333333333334,0.875,1,24
transformer,14,15,0.9583333333333334,0.875,1,20
transformer,14,16,0.9583333333333334,0.875,1,25
transformer,14,17,1.0,1.0,1,25
transformer,14,18,1.0,1.0,1,25
transformer,14,19,1.0,1.0,1,24
transformer,14,20,1.0,1.0,1,24
transformer,14,21,0.875,0.625,2,42
transformer,14,22,1.0,1.0,1,25
transformer,14,23,1.0,1.0,1,24
transformer,14,24,1.0,1.0,1,24
transformer,14,25,0.9166666666666666,0.75,2,40
transformer,14,26,0.9166666666666666,0.75,1,21
transformer,14,27,1.0,1.0,1,24
transformer,14,28,1.0,1.0,1,27
transformer,14,29,1.0,1.0,1,24
transformer,14,30,0.9166666666666666,0.75,2,40
transformer,14,31,0.9583333333333334,0.875,1,19
transformer,14,32,0.8333333333333334,0.625,2,42
transformer,14,33,1.0,1.0,1,24
transformer,14,34,1.0,1.0,1,21
transformer,14,35,0.9583333333333334,0.875,1,21
transformer,14,36,1.0,1.0,1,28
transformer,14,37,0.9583333333333334,0.875,1,20
transformer,14,38,0.9583333333333334,0.875,1,25
transformer,14,39,0.9166666666666666,0.75,2,40
